902 1800
81.36833 43.61678 -14.65372
63.93291 60.76302 -6.24758
60.61258 65.58651 3.01288
29.65781 74.90301 -5.47556
45.56460 72.37556 3.14307
48.56700 62.35636 -13.40089
29.21680 69.65623 -12.74632
13.61016 80.46969 -7.60702
16.81191 83.81927 -2.23655
-13.40007 91.92498 -7.12664
4.53420 89.88929 -2.07159
-4.93784 81.42234 -15.53024
-19.42103 87.00111 -15.55884
-27.43146 98.98579 -1.43627
-20.87130 103.28459 8.24204
-48.50343 101.14529 -5.99592
-62.92444 107.64586 3.56963
-79.18696 101.39277 -18.46944
-80.02023 107.46758 -0.96838
-51.57304 94.87810 -19.92378
-64.99185 95.29198 -27.62362
-87.23024 97.46528 -23.31250
-98.72481 99.02758 -9.18304
-97.99835 81.98370 -30.86633
-104.60940 91.36605 -13.55008
-78.23585 88.45090 -37.40445
-83.26628 80.56599 -40.12812
-104.28321 72.59970 -36.00050
-116.64569 74.05238 -25.52645
-117.65579 56.11982 -42.84884
-122.51003 66.86578 -29.80897
-98.57562 61.02719 -47.85239
-106.39773 52.00439 -50.98599
-121.91022 48.56743 -39.88002
-129.55492 52.96760 -25.93652
-123.03565 26.88858 -23.61005
-129.25818 41.94777 -19.19096
-115.35576 35.84761 -44.60106
-116.66686 25.07297 -35.21084
-121.37396 11.76967 -14.61871
-124.25236 12.13054 -5.61020
-115.93640 -3.97150 -15.29290
-115.16499 -18.28563 -7.07219
-105.69394 -28.18585 -16.20813
-110.36338 -30.67962 -8.72318
-111.28482 -1.86784 -24.00890
-106.02739 -13.57947 -22.97126
-99.59968 -38.56112 -18.74069
-98.44444 -50.03986 -15.03491
-85.56325 -58.47648 -21.13740
-91.98262 -58.47173 -15.51138
-93.25289 -35.93639 -24.64917
-85.47786 -47.32245 -26.31992
-77.08050 -67.43869 -18.85782
-77.24797 -74.12111 -7.43305
-56.34807 -83.81919 -11.78258
-68.53517 -82.24545 -2.25735
-65.65749 -67.93260 -24.91174
-53.45245 -76.37919 -22.78957
